Time,Country Name,"Air transport, freight (million ton-km)","Air transport, passengers carried",Pump price for diesel fuel (US$ per liter),"Air transport, registered carrier departures worldwide",Population growth (annual %)
1990,United Kingdom,3825.399902,47113600,0,670700,0.298930554
1990,India,662.9000244,10862200,0,125800,2.141140539
1990,Saudi Arabia,609.5999756,10311500,0,92700,4.156068549
1990,United Arab Emirates,145.1000061,1685900,0,18800,5.869033185
1990,China,818.2999878,16596100,0,196000,1.467303211
1990,Singapore,1652.5,7046400,0,30500,3.889093607
1992,United Kingdom,4639.200195,47819400,0,654600,0.270431182
1992,India,429.3999939,11127100,0,120300,2.074344245
1992,Saudi Arabia,679.2000122,11154800,0,95100,3.696088505
1992,United Arab Emirates,267,2508800,0,26300,5.230675559
1992,China,1316,27345000,0,200300,1.225536228
1992,Singapore,2179.899902,8477300,0,39100,3.004256395
1994,United Kingdom,6405.200195,55475500,0,684900,0.254586487
1994,India,563.5999756,11518400,0,130100,2.02085602
1994,Saudi Arabia,809.5,12142300,0,102500,2.877909768
1994,United Arab Emirates,465.8999939,3368700,0,34000,4.646391359
1994,China,1717.199951,37601000,0,325900,1.130260632
1994,Singapore,3245,9929400,0,46100,3.136586932
1996,United Kingdom,7618.100098,64208500,0,772300,0.254626384
1996,India,565,13394600,0,151300,1.951435501
1996,Saudi Arabia,862.7999878,11706300,0,100700,2.723065115
1996,United Arab Emirates,651.2999878,4063500,0,38000,5.543847098
1996,China,1688.599976,51770100,0,493000,1.048141514
1996,Singapore,4115,11840700,0,57200,4.064318468
1998,United Kingdom,4663.5,61940200,1.11,801900,0.291406085
1998,India,531.2999878,16521000,0.21,196100,1.887557865
1998,Saudi Arabia,934,11816200,0.1,101100,2.64400628
1998,United Arab Emirates,902,5263700,0.15,41100,6.178188555
1998,China,2474.199951,53234000,0.25,510500,0.959550406
1998,Singapore,4724,13331100,0.36,61700,3.397212277
2000,United Kingdom,5160.872,70436030,1.22,876158,0.357300887
2000,India,547.652,17299483,0.39,198426,1.822184002
2000,Saudi Arabia,999.56,12566492,0.1,108981,2.527236357
2000,United Arab Emirates,1456.349,6893085,0.26,48330,5.580387001
2000,China,3900.08,61891807,0.45,572921,0.787956593
2000,Singapore,6004.887,16704341,0.38,71042,1.732042233
2002,United Kingdom,4940.527,72381196,1.2,924944,0.42333708
2002,India,546.34,17633019,0.41,231413,1.776767874
2002,Saudi Arabia,862.29,13564300,0.1,108598,2.404472297
2002,United Arab Emirates,2079.338,9667005,0.3,54952,5.064872584
2002,China,5013.505,83671798,0.37,932064,0.669999568
2002,Singapore,6772.231,17256872,0.38,72444,0.912639806
2004,United Kingdom,5698.49,86054762,1.6,970036,0.568943113
2004,India,708.475,23934074,0.62,302790,1.67281087
2004,Saudi Arabia,956.687,14942633,0.1,113329,2.183090419
2004,United Arab Emirates,3733.658,14314326,0.28,87217,4.609526744
2004,China,7024.25,119789024,0.43,1209900,0.593932815
2004,Singapore,7192.818,16995621,0.55,76253,1.251916673
2006,United Kingdom,6215.321,97544631,1.73,1037032,0.735048678
2006,India,842.55,40288794,0.75,453921,1.52430796
2006,Saudi Arabia,1066.281,16830838,0.07,131528,3.95879668
2006,United Arab Emirates,5735.78,0,0.53,0,13.48367209
2006,China,7692.205,158013351,0.61,1542564,0.558374367
2006,Singapore,7981.253,19565884,0.63,84747,3.129389156
2008,United Kingdom,6283.831,104713553,1.65,1056206,0.787032622
2008,India,1233.937,49877935,0.7,592292,1.422391509
2008,Saudi Arabia,1382.547,16708204,0.09,148335,3.853874728
2008,United Arab Emirates,9289.48,0,0.62,0,17.399086
2008,China,11386.055,191001220,1.01,1853088,0.512386932
2008,Singapore,7310.158,21050204,0.9,91387,5.321517083
2010,United Kingdom,6082.739413,101515720.2,1.98,985109.0231,0.783888647
2010,India,1630.964142,64374253.8,0.82,623196.7786,1.377595812
2010,Saudi Arabia,1324.861,20323592,0.067,177608,3.206494106
2010,United Arab Emirates,9774.150415,44948143.85,0.71,240855.107,5.939765366
2010,China,17193.8774,266293020,1.04,2377789,0.482959689
2010,Singapore,7121.414679,24859825.16,1.04,131721.9156,1.771832879
2012,United Kingdom,6243.542853,115419920.6,2.27,1050702.909,0.695353132
2012,India,1579.229879,72151828.89,0.86,678125.9378,1.33219205
2012,Saudi Arabia,1815.016,26537661,0.067,208986,2.199762757
2012,United Arab Emirates,12032.54363,59948766.7,0.64,311758,1.041344608
2012,China,15568.753,318475924,1.28,2779741,0.678345459
2012,Singapore,6899.373161,29138458.27,1.26,157939.3178,2.45339033
2014,United Kingdom,5974.825151,124901676.1,1.99,1064175.7,0.736463979
2014,India,1851.32674,82718882.88,0.91,724541.12,1.240362184
2014,Saudi Arabia,1599.921996,32269452,0.07,232908,2.022032711
2014,United Arab Emirates,15527.19287,75608196,0.64,352224,0.956397624
2014,China,17822.581,390878784,1.09,3356756,0.63032639
2014,Singapore,6051.73592,33643518.42,1.16,183398.5576,1.298440178
2016,United Kingdom,5512.672996,143781714,1.49,1180312,0.757874493
2016,India,1893.8815,119577835,0.81,917625,1.185046229
2016,Saudi Arabia,833.991,35092840,0.12,256635,2.014458627
2016,United Arab Emirates,16138.874,91763598,0.52,463947,0.863868923
2016,China,21304.5851,487960477,0.81,3952098,0.573050906
2016,Singapore,6695.811276,35370328,0.77,207203,1.297436099
2018,United Kingdom,6198.37,165388610,0,1242985,0.605929132
2018,India,2703.964174,164035637.5,0,1200111.363,1.087527722
2018,Saudi Arabia,1085.47,39767648,0,267295,2.384150031
2018,United Arab Emirates,15962.90443,95758342,0,455956,0.789450108
2018,China,25256.2071,611439830,0,4692008,0.467672053
2018,Singapore,6947.435328,40401515,0,208787,0.469704299
2020,United Kingdom,3667.467,30237827,0,303493,0.365758264
2020,India,875.122843,68959633,0,583142,0.955220858
2020,Saudi Arabia,581.5205976,20968865.89,0,144771,0.472667096
2020,United Arab Emirates,12171.5568,26116897,0,185260,0.817694386
2020,China,19264.2436,417255845,0,3667920,0.23804087
2020,Singapore,3019.926083,7884373,0,64267,-0.311904961
2021,United Kingdom,4097.09,26631932,0,289731,-0.081937241
2021,India,907.929041,83964797,0,739481,0.797216094
2021,Saudi Arabia,678.5634907,29403732,0,219247,-0.129847471
2021,United Arab Emirates,15300.72918,28422616,0,234612,0.834812788
2021,China,20961.2116,440301216,0,3906386,0.0892522
2021,Singapore,3666.850451,2311712,0,56482,-4.1703363
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 12/18/2023,,,,,,
